pid,country,name_2,coral_prop,forest,beach,mangrove,wildlife,ruins,roads,develop,pa_min_dist
347,Belize,Turneffe Atoll (Maugre),0.9400814426992438,0,0,1,0,0,0,0,14472.180737227045
348,Belize,Turneffe Atoll (Maugre),0,0,0,0,0,0,0,0,20424.637209949047
349,Belize,Hol Chan,0,0,0,0,0,0,0,0,5034.712230510482
350,Belize,Hol Chan,1,1,1,1,0,0,0,0,9804.779094312627
351,Belize,Bacalar Chico,1,0,1,1,0,0,0,0,18084.16819197784
352,Belize,Corozal Bay,0.996583021890016,0,0,1,0,0,0,0,17584.93855697848
353,Belize,Corozal Bay,0,0,0,0,0,0,0,0,13534.375193323041
354,Mexico,Ría Lagartos,0,0,0,1,1,0,0,0,6452.815948820732
355,Mexico,Ría Lagartos,0,0,1,0,1,0,0,1,2633.300056084163
356,Honduras,Zona de Interconexion,0,1,0,0,0,0,0,1,1734.0224953840611
357,Honduras,Zona de Interconexion,0.7437252311756936,1,0,1,0,0,0,1,3494.4603074061743
358,Honduras,Zona de Interconexion,0,0,0,0,0,0,0,0,11449.866373690556
359,Belize,Turneffe Atoll (Maugre),0,0,0,0,0,0,0,0,22002.458861223015
360,Belize,Turneffe Atoll (Maugre),0.9727644121652292,0,0,1,0,0,0,0,14792.835665726334
361,Belize,Turneffe Atoll (Maugre),0,0,0,1,0,0,0,0,10077.190923083866
362,Belize,Turneffe Atoll (Maugre),0,0,0,1,0,0,0,0,10329.454816768477
363,Belize,Turneffe Atoll (Maugre),0.9190261974067213,0,0,1,0,0,0,0,15473.184115713222
364,Belize,Turneffe Atoll (Maugre),0,0,0,0,0,0,0,0,22774.637847929986
365,Belize,Hol Chan,0.5502028397565923,0,1,1,0,0,0,1,7198.731687248004
366,Belize,Hol Chan,1,1,1,1,0,0,0,0,13971.426631944594
367,Belize,Bacalar Chico,0.9956140350877193,1,1,1,0,0,0,0,16920.91232389792
368,Belize,Corozal Bay,1,1,1,0,0,0,0,0,16723.374553181864
369,Belize,Bacalar Chico,1,1,1,1,0,0,0,0,13206.493021553864
370,Belize,Corozal Bay,1,0,0,1,0,0,0,0,14452.413735079415
371,Mexico,Ría Lagartos,0,1,0,0,1,0,0,0,11614.72037729134
372,Mexico,Ría Lagartos,0,0,1,1,1,0,0,0,5376.296181246522
373,Honduras,Zona de Interconexion,0,1,0,0,0,0,0,0,6734.022495383583
374,Honduras,Zona de Interconexion,0,1,0,0,0,0,1,1,2728.4828027907793
375,Honduras,Zona de Interconexion,1,0,0,0,0,0,0,0,8494.460307406574
376,Belize,Turneffe Atoll (Maugre),0.9615173172072567,0,0,1,1,0,0,1,17002.458861222487
377,Belize,Turneffe Atoll (Maugre),1,0,0,1,0,0,0,0,9939.989860204818
378,Belize,Turneffe Atoll (Maugre),0,0,0,1,0,0,0,0,7277.096709152503
379,Belize,Turneffe Atoll (Maugre),0,0,0,1,0,0,0,0,10567.546933865877
380,Belize,Turneffe Atoll (Maugre),0.8899970665884424,0,0,1,0,0,0,0,17774.63784793045
381,Belize,Turneffe Atoll (Maugre),0,0,0,0,0,0,0,0,23485.994117238908
382,Belize,Hol Chan,0.822679778733866,1,1,1,0,0,0,0,11277.195821475772
383,Belize,Bacalar Chico,1,1,1,1,0,0,0,0,16091.252370419272
384,Belize,Bacalar Chico,0,0,0,1,0,0,0,0,9447.802497762119
385,Mexico,Ría Lagartos,0,1,0,1,1,0,0,0,9666.060216897604
386,Honduras,Zona de Interconexion,0,1,0,0,0,0,1,1,5552.952980981686
387,Honduras,NP Blanca Jeannette Kawas,0,1,0,0,0,0,1,1,9157.180925033206
388,Honduras,Zona de Interconexion,1,1,0,0,0,0,0,1,6524.68688054474
389,Honduras,NP Blanca Jeannette Kawas,0,1,0,0,0,0,0,1,9224.262113589139
390,Honduras,Zona de Interconexion,0,0,0,0,0,0,0,0,13494.46030740568
391,Belize,Turneffe Atoll (Maugre),0,0,0,0,0,0,0,0,19710.598128880305
392,Belize,Turneffe Atoll (Maugre),0.9753173483779972,0,0,1,1,0,0,0,12002.458861222342
393,Belize,Turneffe Atoll (Maugre),0,0,0,1,0,0,0,0,5364.588503207349
394,Belize,Turneffe Atoll (Maugre),0,0,0,1,0,0,0,0,5824.660481103223
395,Belize,Turneffe Atoll (Maugre),0,0,0,1,0,0,0,0,12774.637847930413
396,Belize,Turneffe Atoll (Maugre),0.8303571428571429,0,0,0,0,0,0,0,20541.878395663025
397,Belize,Turneffe Atoll (Maugre),0,0,0,0,0,0,0,0,22000.42827172437
398,Belize,Bacalar Chico,0.949740034662045,0,0,0,0,0,0,0,19937.992978831888
399,Belize,Bacalar Chico,0,1,1,1,0,0,0,0,11332.722340915127
400,Mexico,Ría Lagartos,0,1,0,0,1,0,0,0,14420.848782400752
401,Mexico,Ría Lagartos,0,0,1,1,1,0,0,0,10307.38358877861
402,Honduras,Zona de Interconexion,0,1,0,0,0,0,1,1,7728.48280278988
403,Honduras,NP Blanca Jeannette Kawas,0,1,0,0,0,0,0,1,9009.318600804432
404,Honduras,Zona de Interconexion,1,1,0,0,0,0,0,1,11292.304546159192
