pid,MPA,beach,mangrove,wildlife,forest,ruins,roads,develop,cellarea,prop_coral,pa_min_dist,country
1495,NA,0,0,0,0,0,0,0,21650635.094612002,0,28910.006888354383,Honduras
1496,NA,0,0,0,0,0,0,0,21650635.09460938,0,24048.061635193877,Honduras
1497,NA,0,0,0,0,0,1,1,21650635.094614506,0,19256.94779905173,Honduras
1498,NA,0,0,0,0,0,1,0,21650635.09460628,0,14606.533081491669,Honduras
1499,NA,0,0,0,0,0,0,0,21650635.094611526,0,10289.391565395188,Honduras
1500,NA,0,0,0,0,0,0,0,21650635.094613433,0,6951.485204061277,Honduras
1501,NA,0,0,0,0,0,0,0,21650635.094621062,0,4767.353032821992,Honduras
1502,NA,0,0,0,0,0,0,0,21650635.094605803,0,6203.562216593188,Honduras
1503,NA,0,0,0,0,0,0,0,21650635.094615698,0,9134.215300831744,Honduras
1504,NA,0,0,0,0,0,0,0,21650635.09460759,0,12661.317760356045,Honduras
1505,NA,0,0,0,0,0,0,0,21650635.094610095,0,16770.235482936525,Honduras
1506,NA,0,0,0,0,0,0,0,21650635.09461665,0,21264.35112759318,Honduras
1507,NA,0,0,0,0,0,0,0,21650635.09461105,0,25944.256774903213,Honduras
1508,NA,0,0,0,0,0,1,0,21650635.09460962,0,30725.173560559968,Honduras
1509,NA,0,0,0,0,0,1,1,21650635.094614267,0,35566.39032922705,Honduras
1510,NA,0,0,0,0,0,1,1,21650635.094614506,0,40446.26004682592,Honduras
1511,NA,0,0,0,0,0,0,0,21650635.09461236,0,45352.30735585478,Honduras
1512,NA,0,0,0,0,0,0,0,21650635.094612956,0,47478.585636417905,Honduras
1513,NA,0,0,0,0,0,0,1,21650635.09461212,0,44279.09729059126,Honduras
1514,NA,0,0,0,0,0,0,1,21650635.09461093,0,41437.43259064766,Honduras
1515,NA,0,0,0,0,0,1,1,21650635.094611287,0,38916.33420499009,Honduras
1516,NA,0,0,0,0,0,1,1,21650635.09461665,0,36686.556540363745,Honduras
