pid,country,name_2,cellarea,coral_prop,coral_prop25,coral_prop75,forest_prop,beach,wildlife,ruins,roads,develop,pa_min_dist,prop_mangrove_lg,prop_mangrove_deg_lg,prop_mangrove_deg_sm,prop_mangrove_sm
5657,Mexico,NA,21650635.094610333,0,0,0,0,0,0,0,0,0,46021.26309521242,0,0,0,0
5658,Mexico,NA,21650635.094610333,0,0,0,0,0,0,0,0,0,39859.10530513683,0,0,0,0
5659,Mexico,NA,21650635.09461236,0,0,0,0,0,0,0,0,0,34778.44008251573,0,0,0,0
5660,Mexico,NA,21650635.094611168,0,0,0,0,0,0,0,0,0,31310.246141165313,0,0,0,0
5661,Mexico,NA,21650635.094611168,0,0,0,0,0,0,0,0,0,30018.713034829445,0,0,0,0
5662,Mexico,NA,21650635.094610333,0,0,0,0,0,0,0,0,0,30522.95657641447,0,0,0,0
5663,Mexico,NA,21650635.094610333,0,0,0,0,0,0,0,0,0,33203.049513754755,0,0,0,0
5664,Mexico,NA,21650635.094611168,0,0,0,0,0,0,0,0,0,35175.95838445796,0,0,0,0
5665,Mexico,NA,21650635.094611168,0,0,0,0,0,0,0,0,0,28526.608182480075,0,0,0,0
5666,Mexico,NA,21650635.094610333,0,0,0,0,0,0,0,0,0,23241.916885845003,0,0,0,0
5667,Mexico,NA,21650635.094610333,0,0,0,0,0,0,0,0,0,20410.92909840805,0,0,0,0
5668,Mexico,NA,21650635.09461236,0,0,0,0,0,0,0,0,0,20434.095137326953,0,0,0,0
5669,Mexico,NA,21650635.094611168,0,0,0,0,0,0,0,0,0,15874.981653562982,0,0,0,0
5670,Mexico,NA,21650635.094611168,0,0,0,0,0,0,0,0,0,7925.45428583145,0,0,0,0
5671,Mexico,NA,21650635.094610333,0.008925606110927235,0.008925606110927235,0.008925606110927235,0.8116074393889648,0,0,0,1,0,1964.2194959305473,0.031204977913456673,0,0,0.031204977913456673
5672,Mexico,NA,21650635.094610333,0,0,0,0.9826884755895747,0,0,0,0,1,6538.765210099949,0,0,0,0
5673,Mexico,NA,21650635.09461236,0,0,0,1,0,0,0,1,0,12343.003756815111,0,0,0,0
5674,Mexico,NA,21650635.094611168,0,0,0,1,0,0,0,0,0,19801.49268115557,0,0,0,0
5675,Mexico,NA,21650635.094611168,0,0,0,1,0,0,0,0,0,26653.732951458438,0,0,0,0
5676,Mexico,NA,21650635.094610333,0,0,0,1,0,0,0,1,0,28858.349961136526,0,0,0,0
5677,Mexico,NA,21650635.094610333,0,0,0,0.9312520757224173,0,0,0,0,0,27884.4795909315,0,0,0,0
5678,Mexico,NA,21650635.09461236,0,0,0,0.9613500498173146,0,0,0,0,0,28749.691250306227,0,0,0,0
5679,Mexico,NA,21650635.094611168,0,0,0,0.9980903354367643,0,0,0,0,0,29197.152626545412,0,0,0,0
5680,Mexico,NA,19219073.393383265,0,0,0,0.6038994076696305,0,0,0,0,0,22930.400759624386,0,0,0,0
5681,Mexico,NA,20007063.35105089,0,0,0,0,0,1,0,0,0,37117.41281940286,0,0,0,0
